"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",4,3,0.00684715681898454,0.999916651455104
"AL_Birmingham_A2_A_2",2,2,NA,NA
"AL_Birmingham_B1_B_4",5,4,0.00560201505032432,0.999972276879307
"AL_Birmingham_B13_B_8",2,1,NA,NA
"AL_Birmingham_B14_B_9",6,6,NA,NA
"AL_Birmingham_B3_B_13",3,3,NA,NA
"AL_Birmingham_C11_C_24",5,5,NA,NA
"AL_Birmingham_C12_C_25",2,2,NA,NA
"AL_Birmingham_C3_C_36",9,9,NA,NA
"AL_Birmingham_D10_D_44",3,3,NA,NA
"AL_Montgomery_A1_A_118",5,5,NA,NA
"AR_Little Rock_A2_A_142",6,5,0.00453850627568286,0.999989006054452
"AR_Little Rock_C5_C_163",2,2,NA,NA
"CA_Fresno_C4_C_216",2,2,NA,NA
"CA_Los Angeles_A1_A_233",5,4,0.00560201505032432,0.999972276879307
"CA_Los Angeles_A10_A_234",3,3,NA,NA
"CA_Los Angeles_A12_A_236",66,17,0.250207818555728,0.99637404692367
"CA_Los Angeles_A13_A_237",5,5,NA,NA
"CA_Los Angeles_A18_A_244",2,1,NA,NA
"CA_Los Angeles_A21_A_248",15,9,0.00769499102147112,0.99999012968791
"CA_Los Angeles_A29_A_256",4,4,NA,NA
"CA_Los Angeles_A3_A_257",2,2,NA,NA
"CA_Los Angeles_A30_A_258",5,4,0.00560201505032432,0.999972276879307
"CA_Los Angeles_A31_A_259",4,4,NA,NA
"CA_Los Angeles_A32_A_260",7,6,0.00376486817975351,0.999994909742269
"CA_Los Angeles_A33_A_261",5,3,0.0192610453171459,0.999239778961662
"CA_Los Angeles_A35_A_263",3,3,NA,NA
"CA_Los Angeles_A37_A_265",7,5,0.0184744559000108,0.999810909881063
"CA_Los Angeles_A4_A_269",2,2,NA,NA
"CA_Los Angeles_A40_A_270",2,2,NA,NA
"CA_Los Angeles_A42_A_272",3,3,NA,NA
"CA_Los Angeles_A43_A_273",2,1,NA,NA
"CA_Los Angeles_A46_A_274",4,4,NA,NA
"CA_Los Angeles_A51_A_280",10,10,NA,NA
"CA_Los Angeles_A55_A_284",2,2,NA,NA
"CA_Los Angeles_A58_A_286",2,2,NA,NA
"CA_Los Angeles_A59_A_287",13,11,0.00781999018438143,0.999993726388311
"CA_Los Angeles_A6_A_288",4,4,NA,NA
"CA_Los Angeles_A60_A_289",10,6,0.0191228442650617,0.999856460885209
